Variable:,tas
Country:,Cyprus
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.74,12.65,14.44,15.74,17.68,22.81,25.90,25.93,23.21,20.08,15.06,12.41
1902,9.31,12.16,10.98,14.88,18.94,22.02,25.42,25.70,24.64,20.70,14.19,10.31
1903,8.44,8.63,10.53,15.07,19.24,21.57,24.26,25.22,22.16,18.91,13.97,11.69
1904,9.36,10.75,11.43,14.09,18.08,22.07,25.04,25.56,22.95,21.03,14.37,9.74
1905,7.63,7.43,10.42,15.22,19.42,22.25,26.18,26.40,24.31,21.14,16.90,10.18
1906,9.25,9.82,11.94,14.90,17.96,23.03,25.76,25.77,22.93,19.98,15.55,12.50
1907,8.60,9.30,9.40,14.28,18.99,22.47,25.90,25.87,22.37,19.79,13.81,11.25
1908,9.12,9.25,11.31,14.63,20.10,23.07,25.16,25.66,22.82,19.30,13.70,9.50
1909,8.89,9.23,13.17,13.63,21.53,23.29,26.69,26.77,24.18,20.14,16.24,12.91
1910,9.08,10.58,9.20,15.72,18.94,22.35,25.80,26.37,23.40,18.86,14.80,10.38
1911,8.23,7.18,10.00,14.42,18.86,22.55,25.55,26.10,23.21,20.30,15.81,11.27
1912,8.43,10.80,12.28,14.72,17.73,22.97,25.03,25.82,23.25,19.80,15.30,10.84
1913,9.30,8.78,11.82,14.78,18.42,22.17,25.55,25.79,24.20,20.52,14.80,10.57
1914,9.34,10.18,13.17,13.72,19.42,22.91,25.95,26.43,23.56,19.30,14.74,11.71
1915,11.82,10.86,12.53,15.03,18.62,23.63,26.65,26.41,23.60,20.80,15.40,13.01
1916,9.20,10.60,13.53,15.68,20.66,25.39,27.50,25.87,23.65,19.79,17.29,13.31
1917,11.18,9.85,13.37,16.16,18.28,22.39,25.86,26.66,23.70,20.31,17.26,10.65
1918,9.60,9.60,11.53,14.76,19.00,22.43,25.93,25.87,24.90,22.79,16.81,11.66
1919,11.62,11.49,13.61,15.37,17.34,21.85,25.80,25.37,24.61,22.00,17.21,11.36
1920,10.20,7.52,11.94,16.02,19.54,23.64,26.45,27.07,23.80,19.31,14.24,10.22
1921,9.86,8.58,10.80,14.50,19.28,22.05,26.20,27.25,22.90,19.11,15.28,10.55
1922,9.60,9.52,13.20,15.56,19.30,22.90,26.95,26.87,24.60,21.55,16.01,10.66
1923,10.04,10.20,12.38,14.96,20.00,24.42,25.87,25.50,24.79,20.74,17.90,13.01
1924,9.05,10.18,12.41,16.46,19.08,24.27,26.69,26.53,25.03,18.94,14.90,10.95
1925,7.73,10.53,14.16,14.56,19.65,22.39,26.25,26.49,24.80,21.05,17.24,12.94
1926,10.34,10.30,11.44,16.68,20.91,24.79,26.14,25.00,22.63,21.00,17.07,12.51
1927,10.64,7.26,13.62,15.08,20.79,24.03,26.93,26.77,25.20,22.49,17.08,12.01
1928,10.38,8.30,10.16,18.09,21.29,23.69,27.09,27.47,24.80,19.78,16.80,11.71
1929,8.60,7.71,9.47,15.28,21.97,23.54,25.87,27.92,23.90,20.04,17.26,11.61
1930,10.24,10.37,13.35,16.64,19.52,23.58,26.76,27.38,24.43,20.30,15.93,13.71
1931,10.86,10.68,12.91,15.39,19.82,23.34,27.05,27.49,25.10,20.74,14.00,10.37
1932,8.74,9.09,12.20,15.40,19.22,24.20,26.86,27.15,24.63,23.28,15.78,10.52
1933,8.51,10.64,11.03,13.02,18.79,22.76,25.13,25.75,22.28,19.12,18.28,10.94
1934,9.08,7.87,13.64,16.84,20.15,23.82,26.56,26.58,23.65,20.42,16.80,11.71
1935,9.79,10.38,12.32,15.64,22.07,25.26,26.13,26.95,24.40,20.94,14.14,13.19
1936,11.96,11.20,13.24,16.82,19.10,22.37,26.66,27.09,22.75,21.67,16.39,9.25
1937,7.15,11.25,14.54,17.02,19.79,23.59,26.89,26.51,25.55,21.00,16.98,13.13
1938,9.67,8.90,9.91,15.73,19.34,23.87,27.56,27.48,23.70,20.50,14.70,12.70
1939,11.24,9.88,11.20,16.62,21.92,22.99,26.96,26.28,24.68,22.49,15.19,12.81
1940,9.61,11.59,11.61,16.39,19.18,23.68,26.73,25.81,23.70,21.40,16.20,12.34
1941,11.61,13.00,12.03,16.74,21.52,24.02,26.55,26.58,23.02,18.67,15.74,8.74
1942,7.97,11.13,12.15,16.44,20.92,25.61,26.49,26.11,23.50,20.00,15.67,11.12
1943,9.19,8.12,9.06,13.82,18.90,22.39,25.95,26.95,24.81,22.30,18.30,12.91
1944,9.11,10.80,12.61,16.52,18.60,24.29,26.15,25.87,24.30,21.02,15.40,11.79
1945,9.69,8.10,9.48,14.22,21.72,23.37,27.02,27.64,24.62,19.22,16.00,11.01
1946,10.19,9.80,11.43,16.14,19.62,23.88,26.68,27.27,25.63,19.58,18.20,12.43
1947,9.69,11.63,14.89,17.04,21.15,24.02,27.25,27.05,23.75,19.93,16.25,13.46
1948,12.48,10.11,9.17,14.57,19.77,22.92,26.37,26.57,23.60,19.88,14.77,9.24
1949,8.49,7.33,10.37,12.84,21.05,23.74,25.61,25.62,22.00,20.03,17.60,12.38
1950,7.69,8.70,11.88,17.29,19.22,23.35,26.55,26.55,24.10,19.30,16.09,13.60
1951,11.14,11.56,14.42,16.96,20.66,23.80,26.67,27.37,24.50,19.18,15.73,10.08
1952,10.33,10.78,11.17,16.05,19.38,23.31,25.73,27.53,26.49,21.94,15.88,13.65
1953,11.14,11.02,9.19,15.50,19.16,23.21,26.81,26.84,23.58,20.78,13.33,8.57
1954,9.01,10.37,13.24,14.50,19.48,23.98,27.56,27.91,24.75,20.85,16.34,12.45
1955,11.91,13.51,13.06,15.92,20.03,25.16,26.51,26.02,24.07,22.47,16.29,12.28
1956,10.48,10.95,10.14,15.35,18.47,23.99,27.28,27.93,23.44,18.87,15.17,10.19
1957,8.35,10.46,12.99,16.63,19.05,23.90,26.46,27.59,24.34,21.70,15.43,11.41
1958,10.84,11.29,13.63,16.32,20.03,23.62,25.50,27.56,23.52,19.24,15.78,12.96
1959,11.28,6.08,11.05,16.68,19.62,23.45,25.28,25.88,22.40,18.76,15.82,13.02
1960,11.05,11.35,12.11,15.61,21.64,23.41,26.18,26.38,24.34,22.01,17.53,14.21
1961,9.85,9.65,11.03,16.29,20.86,23.87,27.09,26.89,22.30,19.73,14.86,13.32
1962,11.17,9.59,14.80,15.26,20.02,24.23,26.36,28.01,24.92,21.28,19.04,13.55
1963,12.43,12.49,10.73,15.62,18.36,23.68,26.45,27.64,24.80,21.22,16.47,12.05
1964,6.44,9.96,13.43,15.39,19.33,23.50,25.97,25.89,23.12,21.01,16.33,12.00
1965,10.09,10.97,12.91,14.93,19.28,25.32,26.49,26.41,24.29,18.32,14.99,12.34
1966,11.76,12.70,12.66,16.83,19.30,24.85,26.93,27.12,23.50,21.60,19.39,12.35
1967,9.79,7.56,10.33,14.68,19.39,23.34,26.12,26.62,23.75,20.10,14.53,11.81
1968,9.03,9.85,11.35,17.65,21.66,24.40,27.53,25.42,23.92,20.56,16.42,12.95
1969,9.96,11.06,13.67,14.44,21.08,25.85,25.53,26.59,25.13,20.28,15.71,12.91
1970,11.62,12.10,14.06,18.47,19.87,23.81,26.06,26.56,23.77,19.47,17.18,10.40
1971,12.76,9.91,12.47,14.56,20.73,24.23,25.59,26.38,24.40,19.01,15.78,10.68
1972,7.89,8.00,12.44,17.10,18.88,23.20,25.35,26.21,25.37,21.24,14.65,10.12
1973,9.31,12.48,12.69,15.26,20.16,23.64,27.04,26.70,25.54,21.27,13.22,11.82
1974,8.15,10.20,13.55,15.11,19.55,24.14,26.66,26.34,23.58,22.45,16.41,11.33
1975,9.81,8.99,13.63,17.54,18.91,23.29,26.27,25.74,23.95,19.74,14.69,9.57
1976,9.90,7.76,11.08,15.87,19.56,22.62,24.95,24.86,22.36,20.27,16.60,12.40
1977,8.25,12.85,11.97,14.99,19.58,23.52,26.79,27.29,23.71,18.41,16.12,10.81
1978,11.43,12.17,12.84,15.41,20.56,23.13,28.01,25.62,22.90,21.03,13.45,12.44
1979,11.25,12.40,13.04,16.75,19.32,24.14,26.23,26.16,24.96,20.44,16.97,10.40
1980,8.41,8.88,11.47,14.66,19.85,23.72,26.85,26.58,23.01,20.61,15.71,12.26
1981,10.20,10.50,13.88,15.21,18.68,24.18,26.74,26.40,25.18,21.44,13.99,13.58
1982,10.61,8.63,10.53,16.39,19.34,23.39,25.40,26.04,24.42,19.97,13.18,10.21
1983,7.45,8.20,11.29,15.48,19.41,22.99,27.27,25.71,23.20,19.17,17.52,12.63
1984,11.41,11.58,12.55,15.03,20.80,23.02,25.65,24.82,24.57,20.21,14.20,9.37
1985,11.74,8.08,10.77,16.54,20.45,24.08,26.40,28.05,24.49,18.71,16.50,12.04
1986,10.60,12.02,13.27,17.61,17.93,23.67,26.32,27.05,25.56,19.94,13.43,10.93
1987,11.28,12.15,9.23,14.23,19.27,23.11,26.91,27.38,24.17,19.44,14.76,11.36
1988,10.24,9.70,10.87,15.36,20.96,23.98,27.53,26.65,24.63,19.17,12.49,11.19
1989,6.77,8.89,12.78,18.80,20.90,23.40,26.87,26.64,24.12,18.96,15.66,10.81
1990,8.03,9.24,11.64,15.91,19.87,23.34,26.27,26.40,23.68,21.16,17.43,12.79
1991,10.00,9.44,13.66,16.72,18.53,22.99,25.90,26.13,24.48,21.84,15.77,9.85
1992,7.33,6.54,10.24,15.20,19.13,22.98,25.06,27.20,23.32,21.92,15.41,8.64
1993,8.59,8.36,12.20,16.40,18.23,24.89,26.78,27.28,23.97,22.20,13.52,12.04
1994,12.38,10.21,12.07,18.12,20.97,23.83,26.25,27.31,26.70,23.00,15.40,9.38
1995,10.82,11.26,12.54,14.88,20.85,24.95,26.40,27.34,24.02,19.77,13.72,11.40
1996,9.98,11.30,11.31,15.16,21.12,24.67,27.34,26.88,24.00,19.22,16.34,14.10
1997,10.77,7.95,9.90,13.71,20.55,23.93,27.29,25.08,23.28,20.97,15.87,12.26
1998,9.33,10.10,11.52,17.35,20.40,24.42,27.64,29.06,25.25,21.64,18.39,13.33
1999,11.49,11.21,12.78,16.38,21.75,24.75,27.58,28.04,25.13,21.61,16.06,12.91
2000,8.31,9.35,11.03,17.04,20.08,25.31,28.78,27.86,25.12,20.24,16.20,12.14
2001,11.74,11.69,15.78,17.46,20.66,25.28,28.21,28.30,25.70,21.49,15.32,12.42
2002,8.51,12.45,14.11,15.80,20.08,24.92,28.00,27.51,24.93,21.70,16.69,10.54
2003,12.58,8.89,10.70,15.92,22.75,25.17,27.60,28.16,24.59,21.91,16.26,12.08
2004,10.07,10.54,13.63,16.18,20.23,24.27,27.67,27.14,24.95,22.41,16.37,11.08
2005,11.20,10.40,13.19,16.82,20.40,24.24,27.64,27.89,24.48,19.45,14.55,13.00
2006,9.42,11.08,13.19,16.87,20.34,24.89,26.85,28.19,24.75,20.82,14.16,11.12
2007,9.79,10.80,12.85,15.10,21.74,25.38,28.15,27.94,25.23,22.16,16.33,11.54
2008,7.81,9.37,15.62,18.19,19.82,25.69,27.87,28.68,25.52,21.05,16.93,11.65
2009,10.65,11.35,12.09,16.34,20.22,25.72,27.70,27.63,24.28,22.84,15.62,13.75
2010,12.52,12.82,15.15,17.01,21.28,24.77,27.38,29.74,26.82,22.51,19.19,14.43
2011,11.68,11.59,12.62,15.93,19.66,24.12,28.09,27.85,25.78,20.25,12.83,11.75
2012,9.28,8.86,11.29,17.61,20.79,26.01,29.12,28.31,26.30,22.62,17.86,13.42
2013,11.19,12.72,14.96,17.32,22.44,25.14,26.89,27.91,24.94,19.74,18.06,10.63
2014,12.10,12.63,14.15,17.74,20.65,24.43,27.56,28.44,24.77,20.85,15.61,14.34
2015,10.17,11.01,13.85,15.25,21.03,22.96,27.27,27.00,26.91,22.37,17.10,10.89
2016,9.94,14.01,14.57,19.38,20.57,26.01,28.28,28.57,25.07,22.18,16.18,9.80
2017,8.72,10.29,13.75,16.82,20.72,25.00,29.02,27.95,26.45,20.87,15.67,13.97
2018,11.42,13.73,15.89,18.73,22.33,24.88,27.96,27.98,26.14,22.02,16.90,12.52
2019,10.35,11.68,12.86,15.38,22.05,25.56,27.29,28.03,25.63,22.89,18.12,12.92
2020,10.16,11.38,13.89,16.51,21.20,23.97,28.41,28.37,27.73,23.96,16.87,14.00
2021,12.42,12.55,12.66,17.52,22.81,24.08,28.65,29.12,25.10,21.58,18.37,12.72
